Chapter,Subchapter,VideoID,Source
8,8.3,75126c6f182641ff9a095459a2785bb4,https://www.youtube.com/watch?v=7C6VjRVDwUY
8,8.4,ad7f8769784c4d7da4171be768994b08,https://www.youtube.com/watch?v=fz_kz0q5VAQ
8,8.5,084ebce83ea4429ba97c08e09bb22adf,https://www.youtube.com/watch?v=r3QjmGS_750
8,8.6,e21d77f4f3a944f48ce1bd30b27f5f0f,https://www.youtube.com/watch?v=-vo1KRSXwwM
8,8.7,8cf6c396f2114e0fa21a6309cf6626e1,https://www.youtube.com/watch?v=p6ZISobWJaE
8,8.8,eea23d4f240749cab1f65b449e21df1e,https://www.youtube.com/watch?v=m-iIzkbQKy4
8,8.9,f63f35d6e527434cac3c8c8872f88270,https://www.youtube.com/watch?v=yMu2zxVGD3o
8,8.10,9c501a33941f4189ac21cfd4d629c174,https://www.youtube.com/watch?v=s-bWIOeMN6o
8,8.11,73654904f8614d058f8b1671929c466d,https://www.youtube.com/watch?v=EYJqv36Uw1I
8,8.12,7d8528551c5443d189c933406e0e07de,https://www.youtube.com/watch?v=RvM1yekx0N4
8,8.14,4d0f51367fc947d98a86d2aee21d9627,https://www.youtube.com/watch?v=BofT64TUMrY
8,8.14,f0e57e8321df4f1f9d8d612c5a52b45d,https://www.youtube.com/watch?v=eBny4qtnAXo
8,8.14,c1f27f626ecb4c3799324c7f1f44be41,https://www.youtube.com/watch?v=RLmZXVZrmYQ
9,9.1,53571be6c67747db8d654ed4f7107671,https://www.youtube.com/watch?v=3dw2EK_7Z2c
9,9.2,639779353a1849199d151d3caaca5004,https://www.youtube.com/watch?v=EKBYuQRt2aM
9,9.3,ef3b0a65e9ba42219d77484e3ebee3a5,https://www.youtube.com/watch?v=H-M4fw_azWQ
9,9.4,69c0a7659b0e4e6cbbf15630ab84c771,https://www.youtube.com/watch?v=XP0Kv4S6pxc
9,9.5,251c616b45df417f97072346ffeeecb8,https://www.youtube.com/watch?v=1_TRBbZgpRA
9,9.6,b65d9dcb1a4241fe80f289f7ee37da32,https://www.youtube.com/watch?v=PpLlJPZER6o
9,9.7,31917c7dcfc24176afbe761dfce79796,https://www.youtube.com/watch?v=D9_V_ZiDaSo
9,9.7,97b12bced6d649a2bca7465b246a1b0f,https://www.youtube.com/watch?v=h8nu5K9Dl0Y
9,9.8.1,769c0c5944464027a37ada0b4a4c9267,https://www.youtube.com/watch?v=3_yD_cEKoCk
9,9.8,f968886ba37f48e983945ded95f07c27,https://www.youtube.com/watch?v=3VNdwb0DT7o
9,9.9,15b1364f3db04c898d8c7687e2e9b6f3,https://www.youtube.com/watch?v=0kRZNEUDosY
9,9.10,bd22143ef4524edfb0dbab0fbb275ca7,https://www.youtube.com/watch?v=vaN6lbCInII
9,9.11,5bc0ff2e9d6f4418927029a091383450,https://www.youtube.com/watch?v=MU52nlv0UbY
9,9.12,5a9926d290ee41b79db5a8d233b2f561,https://www.youtube.com/watch?v=CxkCZ2Lcq40
9,9.13,59ce3f9b148b46eba44abdbe6471fc4d,https://www.youtube.com/watch?v=PGaie-Y5SaU
9,9.14,bcacb826db6945f98cd5faa5464878b5,https://www.youtube.com/watch?v=eJr0XHjFTrw
9,9.16,7ae5ae1a77694641ab51ccc239fff51f,https://www.youtube.com/watch?v=3_yD_cEKoCk
9,9.16,210e55f24ac54bedb01a726e7451bb08,https://www.youtube.com/watch?v=bUo4ZPammxE
9,9.16,711c7c3658914af6a06dcccfb2eb9194,https://www.youtube.com/watch?v=5p47PwZKxWY
10,10.0,f9817ff89e514e3989c5f879126350bb,https://www.youtube.com/watch?v=_kFkwKKNcl8
10,10.1,ad4b668b3098404da342c8931fe1b2ea,https://www.youtube.com/watch?v=RAqP1543eFA
10,10.2,1b0f66ea185d4fa5a1d77f4fc5aec779,https://www.youtube.com/watch?v=TzcayIaxPvg
10,10.3,17fd9f65c51d4298942167d3cc64ada0,https://www.youtube.com/watch?v=PwIwBMIZ-tc
10,10.4,1d7ce2a765494139815dca79dbfd8f2c,https://www.youtube.com/watch?v=3eVP8ke9dGY
10,10.5,5e2bb5cb3fba44f49282938b3d5f6a39,https://www.youtube.com/watch?v=HACR-Rmnkek
10,10.6,4c31530dbe9c4385b53cfad8aaad2b75,https://www.youtube.com/watch?v=J9j58woFeqo
10,10.6.2,787aead0c3dc47cdb0886a7928c91f45,https://www.youtube.com/watch?v=xgcXcRFxCM0
10,10.6.2,a15a049c3f4d435586de79bba4882ab4,https://www.youtube.com/watch?v=HXYYMlT25yY
10,10.7,7b5f59559b8649519c7f096298881a97,https://www.youtube.com/watch?v=xujf9UJJMzI
10,10.8,02b919b9c770417293ca26cfacb1769a,https://www.youtube.com/watch?v=VsvvglIRtG8
10,10.9,5a447cf4e02c4d859b72f25447c47bd2,https://www.youtube.com/watch?v=w4aUSclXLts
10,10.10,635aa0b7e9f545e4bd233dd4dbc5909b,https://www.youtube.com/watch?v=CmCiS3JiC2M
10,10.11,b8826493ef8c4aaf8dbc6e8380d7233c,https://www.youtube.com/watch?v=pU3MgMnSr6A
10,10.12,4fd37be48f724fedb022617ff08c3817,https://www.youtube.com/watch?v=TMk2PrDz-SE
10,10.13,1f68ecfd44d74d7fa3842e6801ae12bc,https://www.youtube.com/watch?v=BSjYfF1lLDU
10,10.15,b15a8e6ec7ba44c2b5e5624aad3b5831,https://www.youtube.com/watch?v=3_yD_cEKoCk
